commit,add_lib,rem_lib,message,time_stamp,src,rule,url,domain
00ac2b493c69c9e15fc1f07932e2ab7d49597b91,nlohmann_json,rapidjson,Uses nlohmann_json instead of rapidjson,1584105712+0800,Conan,rapidjson nlohmann_json,https://github.com/timothyqiu/http-client,Serializing
803bfd422ddee0c6b490130929ed33db7dea9862,eigen,glm,change glm to Eigen\n\n,1573953140+0300,Conan,glm eigen,https://github.com/ackeardoct/aster,Computing
804ddab33f025ad55b16956ff8b56d7e0657ab09,nlohmann_json,jsonformoderncpp,Merge branch 'conan-update' into master,1602839822+0100,Conan,jsonformoderncpp nlohmann_json,https://github.com/Baltoli/accsynt,Serializing
01e62f1d30bba4019060ecf936857bf31389368e,nlohmann_json,jsonformoderncpp,Replace bintray (#397)\n\n* Update Conan package versions    * Change to test Jenkins shared lib version    * Revert Jenkins shared lib to main version    * Update Conan dependency    * Update failing unit test    * Update Conan remote URLs in README,1619424514+0200,Conan,jsonformoderncpp nlohmann_json,https://github.com/ess-dmsc/event-formation-unit,Serializing
01e62f1d30bba4019060ecf936857bf31389368e,benchmark,google-benchmark,Replace bintray (#397)\n\n* Update Conan package versions    * Change to test Jenkins shared lib version    * Revert Jenkins shared lib to main version    * Update Conan dependency    * Update failing unit test    * Update Conan remote URLs in README,1619424514+0200,Conan,google-benchmark benchmark,https://github.com/ess-dmsc/event-formation-unit,Testing
8103c103ca49f556dcb7af6638458bfa13644419,boost_fiber,boost_coroutine,Switch from coroutines (which weren't supported anyway) to Boost.Fiber. Source needs updated.,1545601358-0600,Conan,boost_coroutine boost_fiber,https://github.com/cinderblocks/liblinden,OS Dev
8161aa87175261f4d5cb4d8fc1bf6fc6927ab076,catch2,gtest,upgrade,1611777429+0100,Conan,gtest catch2,https://github.com/franneck94/Cpp-Project-Template,Testing
8179f37b1cc889cb48bd369d74477bb0194d4cac,google-benchmark,benchmark,Merge branch 'master' into v0.5.0,1582153067+0100,Conan,benchmark google-benchmark,https://github.com/shapelets/khiva,Computing
8242ae1be80bb3ffee6876a469a704735ef997ba,boost,boost_algorithm,Merge remote-tracking branch 'remotes/origin/develop' into develop-timescaledb,1563993082-0400,Conan,boost_algorithm boost,https://bitbucket.org/coryng2000/openfmb.adapters,Other
8242ae1be80bb3ffee6876a469a704735ef997ba,boost,boost_lexical_cast,Merge remote-tracking branch 'remotes/origin/develop' into develop-timescaledb,1563993082-0400,Conan,boost_lexical_cast boost,https://bitbucket.org/coryng2000/openfmb.adapters,Other
8242ae1be80bb3ffee6876a469a704735ef997ba,boost,boost_uuid,Merge remote-tracking branch 'remotes/origin/develop' into develop-timescaledb,1563993082-0400,Conan,boost_uuid boost,https://bitbucket.org/coryng2000/openfmb.adapters,Other
039bff98f95ca9b6fa26357841a1a8b4ed3b7860,me_build,build_api,- changed user to 'developer' - update to new build files - using pre-built image,1615280470+0100,Conan,build_api me_build,https://github.com/markuseggenbauer/cpp_dev_container,Build
83bca1f81f839adfb442a29e2cceaca6118a2838,nlohmann_json,jsonformoderncpp,Merge commit '1d1b32c42ca193062ca76347b67eb98f271e6526' into HEAD,1619536963+0200,Conan,jsonformoderncpp nlohmann_json,https://github.com/ess-dmsc/kafka-to-nexus,Serializing
0402ee16bc6e2003a82c3aade5f8356399f9038f,msgpack-cxx,msgpack,update boost and msgpack (#195)\n\n,1664376379+0300,Conan,msgpack msgpack-cxx,https://github.com/duckstax/ottergon,Serializing
043f4933581ff2902222eb7fdbf24e94a2694d0c,boost,boost_asio,[+] cmakelist [~] lib test,1600725619+0200,Conan,boost_asio boost,https://github.com/arzeo68/Babel-cpp,Network
8408dd5f5e965c3fc97cc015c7cb9fb9b67dc7cc,nlohmann_json,json11,enh(conan): cbd builds with conan-center now.\n\n* fix(json): json11 changed to nlohmann_json  * enh(conan): All our external packages come from the conan center  * fix(test/config): fix somes parser tests  * fix(conan): update cmake.sh  * fix(bam): unittest could fail because of a missing loop test.  * fix(link): several link issues  * fix(stats): The center could segfault if the strand is not empty at destruction    Co-authored-by: centreonpm <pmargale@centreon.com>  Co-authored-by: Gres Remi <rgres@centreon.com>    REFS: MON-7244,1620657417+0200,Conan,json11 nlohmann_json,https://github.com/centreon/centreon-broker,Serializing
8482e6567fb7b01b4de3c41ba70520bdf87af36e,sqlitecpp,sqlite3,Replace sqlite3 with SQLiteCpp and use new connection handles for every request instead of keeping and reusing a single handle. SQLite good practices recommend creating and disposing of connections when needed.,1588970228+0200,Conan,sqlite3 sqlitecpp,https://github.com/bendardenne/medor,Database
8490827d53c59cbe77429fee485ef61886e5541e,nlohmann_json,rapidjson,Revert back to nlohmann (schemas aren't doable),1678662305+0100,Conan,rapidjson nlohmann_json,https://github.com/e2fo2l/Nabla2D,Serializing
84c418e0c859cdb5b681dcb70dbce93b0bcc0b94,boost,boost_range,Fixed rot13 example to work with new conan setup.,1599723765+0200,Conan,boost_range boost,https://github.com/KazDragon/telnetpp,Other
84d02422337f9093b2e9e222aecabeb9b354a48c,boost_asio,boost,:hammer: Only build boost necessary features.,1569163787+0200,Conan,boost boost_asio,https://github.com/LiardeauxQ/Babel,Network
054ba9cfb14b8d0bc19e2f815f6aa39fe207b0c7,benchmark,google-benchmark,Update conan packages,1581586751+0000,Conan,google-benchmark benchmark,https://github.com/ess-dmsc/NeXus-Streamer,Testing
057ffc5dabc3b745d2f274035d0223c6cf90817e,readline,libreadline-dev,updated from template and added readline to conan,1600598619+0300,Conan,libreadline-dev readline,https://github.com/sluzhynskyi/myshell,Command Line
05b7b8ca03cd3043aa2422837ccf7d4689cbe3c5,boost_asio,boost,initial commit,1598005092+0700,Conan,boost boost_asio,https://github.com/freshertm/test_task,Network
85241d3407c35bcf44e2b842dd5fc10b4a20fb74,boost_coroutine2,boost,Use modularized boost from bincrafters again instead of hole conan-boost package.,1522864017+0200,Conan,boost boost_coroutine2,https://github.com/mrpi/CoAwaitLib,OS Dev
85241d3407c35bcf44e2b842dd5fc10b4a20fb74,boost_asio,boost,Use modularized boost from bincrafters again instead of hole conan-boost package.,1522864017+0200,Conan,boost boost_asio,https://github.com/mrpi/CoAwaitLib,Network
868063870148caaa795b6931d07504765ba2b9b4,msgpack-cxx,msgpack,conanfile: switch to msgpack-cxx\n\nmsgpack is deprecated in favor of msgpack-c/msgpack-cxx,1641579315+0200,Conan,msgpack msgpack-cxx,https://github.com/Lihis/ets2-job-logger,Serializing
86c50aca3c6800c5d20dd40f8781552ca281e607,benchmark,google-benchmark,Merge branch 'feature/threshold' into matrixProfileThreshold,1591706016+0200,Conan,google-benchmark benchmark,https://github.com/avilchess/khiva,Testing
86d27b7643253b809cb59ec5003db3f90ceef0e0,nlohmann_json,jsonformoderncpp,Update Conan package versions,1619204384+0200,Conan,jsonformoderncpp nlohmann_json,https://github.com/ess-dmsc/daquiri,Serializing
0875b8c7f0bfb9e17bf35e71106cc690c2e135bd,libcurl,curl,:wrench: Replaced curl with bincrafters libcurl\n\n,1541150418+0100,Conan,curl libcurl,https://github.com/5l1v3r1/rigs-of-rods,Computing
888a7e5a88d4e21079f09fdb13facce29ddf0aa5,rapidjson,jsoncpp,"use rapidjson, fixed discovery json",1674549587-0600,Conan,jsoncpp rapidjson,https://github.com/hack-s/lirc-mqtt,Serializing
88b72b635d97821e38b2c3a1f27ab52769460391,onetbb,tbb,updating for 2022,1645243432-0800,Conan,tbb onetbb,https://github.com/tomcool420/simulatorswtor,Computing
89021e6e9c3cc682c72e0ab3460aa9ffa071a9a0,nlohmann_json,jsonformoderncpp,Introduce spdlog,1672328632+0800,Conan,jsonformoderncpp nlohmann_json,https://github.com/LesleyLai/cuda-path-tracer,Serializing
8908c1d6417e128b4fa428ee2e87406df801545f,poco,cpp-netlib-uri,Removing last of the eternal dependencies   Switched from old cpp-netlib to poco,1613806260-0700,Conan,cpp-netlib-uri poco,https://github.com/vortarian/advanced-flex-server,Network
89486f9f9699c2f59671800e4c3c597ee315de97,tinyobjloader,assimp,Delete assimp dependency for now and replace it with tinyobjloader as it's more lightweight and will suffice all the requirements for now.,1569602587+0300,Conan,assimp tinyobjloader,https://github.com/dmitr101/lsr,File Handling
0a01a914da9bff9561bb9431e8649957dde33f58,sparql-parser,sparql-parser-base,integrate sparql parser,1612528898+0100,Conan,sparql-parser-base sparql-parser,https://github.com/dice-group/tentris,Database
8a057c0abc5ed48a94b22ba50c3580baeb6bea6f,libxml2,expat,slideio 2.0.0,1671880945+0100,Conan,expat libxml2,https://github.com/Booritas/docker-manylinux,Computing
8a14fb4021c2acea3bbc1cac06ed3dcc295eb4fd,fmt,spdlog,remove SPDLOG to see if the compilation could be faster,1628151449+0800,Conan,spdlog fmt,https://github.com/KieQ/heroku-kies,Logging
8a3c958a3bc648156e80c45e02b50fbb88a05eb9,boost_asio,boost,finished network base,1538352831+0200,Conan,boost boost_asio,https://github.com/Clemon-R/Babel,Network
0baacce937fc87192ab1fc7d039458d09afa34d7,eigen,glm,Merge branch 'master' of https://github.com/LangArthur/RayTracer,1586902975+0200,Conan,glm eigen,https://github.com/LangArthur/RayTracer,Computing
0c5144f39224bc87e15b5fdb879e705e939bb1f1,nlohmann_json,jsonformoderncpp,"Integrate LunarWatcher/SConsStandard - closes #7. Build system improvements, begin improvement of faults reported by ubsan",1579303598+0100,Conan,jsonformoderncpp nlohmann_json,https://github.com/LunarWatcher/AdventureLandCpp,Serializing
0cd77210a67f3397f4178ecf5d1e5a20cdda0396,catch2,gtest,update,1570286551+0200,Conan,gtest catch2,https://github.com/PinkySan/IrisDataset,Testing
0d888a2c9b910065d4ab663a27ec945767fd3912,cpr,https_get_provider,Replace https_get_provider with cpr,1547893628+0100,Conan,https_get_provider cpr,https://github.com/Linux13524/Youtube-Decipher,Network
0dde49cd253ab6ef7e620062b5edccf70331d083,dr_wav,audeering-libs,Merge branch 'remove-audeering-libs' into 'master'\n\nRemove audeering-libs dependency and use dr_wav for audio file I/O\n\nSee merge request tools/audresamplelib!8,1605802045+0000,Conan,audeering-libs dr_wav,https://github.com/audeering/audresamplelib,Multi Media
8df068cb6da8f262313f0f8c5ba5bb8b47cc4fd4,benchmark,catch2,First naive benchmark,1598466371-0400,Conan,catch2 benchmark,https://github.com/aurelienserre/ecole,Testing
0e53e07309a46ede124b0d9e8e35bf3c455cda7c,boost,boost_coroutine2,Use other conan boost package (try to make travis.io work),1522793941+0200,Conan,boost_coroutine2 boost,https://github.com/mrpi/CoAwaitLib,OS Dev
0e53e07309a46ede124b0d9e8e35bf3c455cda7c,boost,boost_asio,Use other conan boost package (try to make travis.io work),1522793941+0200,Conan,boost_asio boost,https://github.com/mrpi/CoAwaitLib,Network
0ed9c83c6bc9be609dfd854bfd778473f687c570,msgpack-cxx,msgpack,IGNITE-17424 Basic test stub,1661697012+0400,Conan,msgpack msgpack-cxx,https://gitbox.apache.org/repos/asf/ignite-3,Serializing
0ef9980e5925bb66e5eb55b788bbd0dd20518986,benchmark,google-benchmark,Merge remote-tracking branch 'origin/main' into canada,1621031113-0500,Conan,google-benchmark benchmark,https://github.com/mattgodbolt/pt-three-ways,Testing
0f9d080c140ad853097cf2d51408287b073f774a,libhal-lpc40xx,liblpc40xx,"fixes broken arm with updated libhal- changes, add readme commands to root",1674351140-0800,Conan,liblpc40xx libhal-lpc40xx,https://github.com/SJSURoboticsTeam/urc-control-system-2023,OS Dev
8f0783bada9fa6d08e3aaf8dabf62342c74ff3e7,assimp,tinygltf,"Adding assimp, skeletal animations, removing tinygltf, (tinyobj is next to go)",1655410764-0700,Conan,tinygltf assimp,https://github.com/ZackMason/ActuallyAGameEngine,GUI
8f1b63d122988fd8eb0591a7b40a357172ee716d,libcurl,curl,:wrench: Replaced curl with bincrafters libcurl\n\n,1541150418+0100,Conan,curl libcurl,https://github.com/RigsOfRods/rigs-of-rods,Computing
8fa441274325c0a2117b1268959a108e45f76c04,gtest,catch2,add unit test,1546681360+0800,Conan,catch2 gtest,https://github.com/redrru/tz_server,Testing
8ff651e818eb40cb8f3767874233b36b7705641c,fmt,spdlog,build(conan): add fmt remove spdlog,1598498513-0500,Conan,spdlog fmt,https://github.com/spjuanjoc/game_project_cpp,Logging
105d1a3cd18086e3c4aa96f61bdf9f3098b1d129,catch2,gtest,up,1612021239+0100,Conan,gtest catch2,https://github.com/franneck94/UdemyCppPro,Testing
10808f169498799b4aa057efdf1801729d1f22c5,nlohmann_json,jsonformoderncpp,Update dependencies,1643090095+0100,Conan,jsonformoderncpp nlohmann_json,https://github.com/oblanchet/frugally-deep,Serializing
90eda5154173b79fdd774a28645bc4daa4450d7e,benchmark,google-benchmark,Merge commit with Hanack's changes.,1570827130+0200,Conan,google-benchmark benchmark,https://github.com/blockspacer/entity-system,Testing
11b8ee74fbf3097df829d521e192a903b8b5c1ab,tbb,folly,Merge pull request #492 from KomodoPlatform/tbb_instead_of_folly\n\nfeat(folly): remove folly for tbb,1602749857+0200,Conan,folly tbb,https://github.com/1crazymoney/atomicdex-desktop,OS Dev
11d0643d2eba4249913823269b2613892055546b,onetbb,tbb,tbb 2020.3 -> onetbb 2021.6.0,1666088910+0200,Conan,tbb onetbb,https://github.com/Zitrax/zit,Computing
9162102a0a2394adf4e867e4c944eba08d5db14c,onetbb,tbb,Switch to no_keywords configuration,1636717598+0300,Conan,tbb onetbb,https://github.com/DimaTrushin/TypingAnalysis,Computing
1249cb255feb84a131c630639b13af45a6328fb1,catch2,criterion,tests: change criterion -> catch2,1578868627+0100,Conan,criterion catch2,https://github.com/Mathieu-Lala/template_cpp_project,Testing
12d06fc92b70b470e49b7f0869611bb3ae94dc0d,boost_beast@1.66.0@bincrafters,pistache,Implemented all functionality with the beast library the program had before with the pistache library,1537480434+0200,Conan,pistache boost_beast@1.66.0@bincrafters,https://github.com/DevCodeOne/quarium_controller,Network
9288ae1278eef371786ea64f6e8e5c2edae4d842,nlohmann_json,jsonformoderncpp,merge master,1584716336+0300,Conan,jsonformoderncpp nlohmann_json,https://github.com/cyberduckninja/RocketJoe,Serializing
131b89176f323146beab174786d6f7ae071f9d75,tinygltf,assimp,[Core] Change assimp for tinygltf,1613007924-0500,Conan,assimp tinygltf,https://github.com/Steback/Action-RPG-Demo,GUI
13eb498123ef5f1f445cdbcae41274a72d43d7a6,fmt,spdlog,Change dependency from spdlog to fmt library (version >= 6.0.0)\n\nPreviously the dependency to the spdlog library was added just for the bundled fmt library. Now fmt library is required explicitly and spdlog dependency was removed.,1575566969-0300,Conan,spdlog fmt,https://github.com/darcamo/custom_test_matchers,Logging
93e8a9f01455f30f3447d2b972c6e8f9a10295f5,gtest,catch2,Merge remote-tracking branch 'origin/master',1666601987-0400,Conan,catch2 gtest,https://github.com/KJNeko/IDHAN,Testing
14ffda1de6cfd882c400edaab69fcd7e812617e2,boost,boost_base,Moved to conan based third party lib management.,1614522331-0400,Conan,boost_base boost,https://github.com/calebpalmer/capengine,Other
14ffda1de6cfd882c400edaab69fcd7e812617e2,boost,boost_algorithm,Moved to conan based third party lib management.,1614522331-0400,Conan,boost_algorithm boost,https://github.com/calebpalmer/capengine,Other
14ffda1de6cfd882c400edaab69fcd7e812617e2,boost,boost_lexical_cast,Moved to conan based third party lib management.,1614522331-0400,Conan,boost_lexical_cast boost,https://github.com/calebpalmer/capengine,Other
14ffda1de6cfd882c400edaab69fcd7e812617e2,boost,boost_range,Moved to conan based third party lib management.,1614522331-0400,Conan,boost_range boost,https://github.com/calebpalmer/capengine,Other
14ffda1de6cfd882c400edaab69fcd7e812617e2,boost,boost_filesystem,Moved to conan based third party lib management.,1614522331-0400,Conan,boost_filesystem boost,https://github.com/calebpalmer/capengine,File Handling
9430701e8b34454ccb26ad493a9ec4e1ac7c02b6,catch2,doctest,依赖更新,1667371516+0800,Conan,doctest catch2,https://github.com/Jackson-soft/longdemo,Testing
94c585e8ac49f9b750d66319adcbd18f4cf579d9,folly,tbb,Merge remote-tracking branch 'origin/crash_tbb' into ui_polish,1602863530+0300,Conan,tbb folly,https://github.com/1crazymoney/atomicdex-desktop,OS Dev
94d1c3539ee40e322278d734e0da794fff75e499,cli11,docopt.cpp,Merge pull request #19 from JonathanGzzBen/cli11\n\nReplace docopt with CLI11,1637593981-0600,Conan,docopt.cpp cli11,https://github.com/JonathanGzzBen/weighterm,Command Line
156c6bc1fe5c736655b4ed5d5c1161cd5b8a9119,boost_iostreams,boost,Switching conan version to bincrafter's boost,1553867417+0100,Conan,boost boost_iostreams,https://github.com/ltjax/file_monitor,File Handling
156c6bc1fe5c736655b4ed5d5c1161cd5b8a9119,boost_filesystem,boost,Switching conan version to bincrafter's boost,1553867417+0100,Conan,boost boost_filesystem,https://github.com/ltjax/file_monitor,File Handling
163f5a08a37fbd28bfdd290b7d69bade7137f232,google-benchmark,benchmark,Merge pull request #3 from shapelets/master\n\nMerge pull request,1583168696+0100,Conan,benchmark google-benchmark,https://github.com/avilchess/khiva,Computing
969212bb8145250ee431d1a242c95f98a87adce8,pninexus,pnicore,change pniio to pninexus,1627407625+0200,Conan,pnicore pninexus,https://github.com/pni-libraries/python-pninexus,Serializing
969212bb8145250ee431d1a242c95f98a87adce8,pninexus,pniio,change pniio to pninexus,1627407625+0200,Conan,pniio pninexus,https://github.com/pni-libraries/python-pninexus,Serializing
