_id,proj_url,rem_lib,rem_src,add_lib,add_src,add_commit,add_message,add_time,pattern,possible_reason,cross_pattern
67eae035b25b49a18b05eff7,https://github.com/Arthapz/StormKit,https://github.com/GPUOpen-LibrariesAndSDKs/VulkanMemoryAllocator.git,gitsubmodule,vulkan,meson,008fabf62b65f151e9423dec454039c60f17821d,"Initial meson commit
",2019-10-19 12:53:31,gpuopen-librariesandsdks_vulkanmemoryallocator vulkan,"
Initial meson commit",gitsubmodule meson
67eae036b25b49a18b05eff8,https://github.com/zethon/AshCoin,Simple-Web-Server,conan,https://gitlab.com/eidheim/Simple-Web-Server.git,gitsubmodule,011af67f92943b923c09ca004a960222a9dcc676,"Moved Simple-Web-Server to a submodule;
",2021-05-04 00:19:25,simple-web-server eidheim_simple-web-server,"
Moved Simple-Web-Server to a submodule;",conan gitsubmodule
67eae03cb25b49a18b05eff9,https://github.com/BentouDev/AnnotationGenerator,https://github.com/kainjow/Mustache,gitsubmodule,kainjow-mustache,conan,020b106e5544c89ecfd4ba234d4155d7b89d5404,"Migrate dependencies to conan packages!
* Automatically setup dependencies using conan
* Unable to open source file is no longer an error
",2019-04-17 19:08:46,kainjow_mustache kainjow-mustache,"
Migrate dependencies to conan packages!",gitsubmodule conan
67eae03cb25b49a18b05effa,https://github.com/BentouDev/AnnotationGenerator,https://github.com/nlohmann/json.git,gitsubmodule,jsonformoderncpp,conan,020b106e5544c89ecfd4ba234d4155d7b89d5404,"Migrate dependencies to conan packages!
* Automatically setup dependencies using conan
* Unable to open source file is no longer an error
",2019-04-17 19:08:46,nlohmann_json jsonformoderncpp,"
Migrate dependencies to conan packages!",gitsubmodule conan
67eae03db25b49a18b05effb,https://github.com/MaximilienNaveau/sot-pattern-generator,libjrl-walkgen-dev,deb,git://github.com/jrl-umi3218/jrl-travis,gitsubmodule,027c3d458520416d4e80c95316e83feac7be83e0,"Merge pull request #10 from francois-keith/master

Correct cmake, use travis submodule.",2014-07-31 19:10:45,libjrl-walkgen-dev jrl-umi3218_jrl-travis,"
Correct cmake, use travis submodule.",deb gitsubmodule
67eae03eb25b49a18b05effc,https://github.com/MaximilienNaveau/sot-pattern-generator,libjrl-dynamics-dev,deb,git://github.com/jrl-umi3218/jrl-travis,gitsubmodule,027c3d458520416d4e80c95316e83feac7be83e0,"Merge pull request #10 from francois-keith/master

Correct cmake, use travis submodule.",2014-07-31 19:10:45,libjrl-dynamics-dev jrl-umi3218_jrl-travis,"
Correct cmake, use travis submodule.",deb gitsubmodule
67eae03fb25b49a18b05effe,https://github.com/indigames/igeCreator,igeCore,conan,https://github.com/indigames/igeCore,gitsubmodule,02f514780a12f583540bc49e6c78123b4bcccd10,"Update: add core engine to igeCreator project for debugging and new functions.
",2021-05-10 04:01:27,igecore indigames_igecore,"
Update: add core engine to igeCreator project for debugging and new functions.",conan gitsubmodule
67eae042b25b49a18b05efff,https://github.com/abbyssoul/libkasofs,https://github.com/google/googletest.git,gitsubmodule,gtest,conan,040ff9cd469513955cbcff7534c57178451d6f56,"Moved to conan managed gtest, fixed adj vector reuse, added filesystem::createNode/destroyNode
",2020-01-04 02:01:33,google_googletest gtest,"
Moved to conan managed gtest, fixed adj vector reuse, added filesystem::createNode/destroyNode",gitsubmodule conan
67eae043b25b49a18b05f000,https://github.com/0003ydlom/ceph,git://github.com/ceph/leveldb.git,gitsubmodule,libleveldb-dev,deb,0449c3ae6981bcac077fe97ef59fa4973d6f98a4,"Merge pull request #79 from dalgaaf/wip-da-leveldb

Some fixes related to switch to system leveldb_x000D_
_x000D_
Reviewed-by: Sage Weil <sage@inktank.com>",2013-02-27 16:43:10,ceph_leveldb libleveldb-dev,"
Some fixes related to switch to system leveldb",gitsubmodule deb
67eae044b25b49a18b05f001,https://github.com/steventomlinson/riscv-core,gtest,pc-config,https://github.com/google/googletest.git,gitsubmodule,04aacecaffcaa37868e2b4b4888852689395c361,"Added submodule instead of commited version of googletest
",2021-06-01 12:12:34,gtest google_googletest,"
Added submodule instead of commited version of googletest",pc-config gitsubmodule
67eae054b25b49a18b05f003,https://github.com/Malibushko/yatgbotlib,https://github.com/google/googletest.git,gitsubmodule,gtest,conan,07a715638a36bf4923c97d1fc097a9a5d5115639,"Added conan support and conan recipe

Whole third_party folder was removed because it is not
longer used. Added custom recipe for magic_get library
Now directory contains conanfile.txt and conanfile.py (this one
will be removed later)
",2020-04-05 17:56:26,google_googletest gtest,"
Added conan support and conan recipe",gitsubmodule conan
67eae055b25b49a18b05f005,https://github.com/CM4all/beng-proxy,jsoncpp,meson,git://github.com/boostorg/json,gitsubmodule,07e77a08f9167ff4164c1ce9214a8b8b174d7fdf,"certdb/AcmeClient: migrate from jsonccp to boost::json
",2020-12-20 05:57:51,jsoncpp boostorg_json,"
certdb/AcmeClient: migrate from jsonccp to boost::json",meson gitsubmodule
