commit,add_lib,rem_lib,message,reason,time_stamp,src,pattern,domain
13eb498123ef5f1f445cdbcae41274a72d43d7a6,fmt,spdlog,Change dependency from spdlog to fmt library (version >= 6.0.0)\n\nPreviously the dependency to the spdlog library was added just for the bundled fmt library. Now fmt library is required explicitly and spdlog dependency was removed.,1,1575566969-0300,conan,spdlog fmt,logging
d6ab96b618f56006d77b4b3be4b8bce9add545f3,boost_property_tree,boost,"update conan info\n\n- Download only boost property-tree and its dependencies, instead of the whole boost - Add cmake option for conan - Use conan link_libraries instead of default",1,1597543586-0500,conan,boost boost_property_tree,other
86c87cf9c26b50df50696bf12026e21718dd737a,gcc,cm4all-thirdparty-clang,"autogen.sh, debian/rules: compile with gcc instead of clang\n\ngcc 4.9 is good enough for building this project.",1,1485962755+0100,debian,cm4all-thirdparty-clang gcc,compilers
86c87cf9c26b50df50696bf12026e21718dd737a,gcc,clang-3.4,"autogen.sh, debian/rules: compile with gcc instead of clang\n\ngcc 4.9 is good enough for building this project.",1,1485962755+0100,debian,clang-3.4 gcc,compilers
3693f6f63080cffb9893f6c9248c71f7fcc7eea3,libcanberra,libcanberra-gtk3,"build: Use plain libcanberra instead of libcanberra-gtk3\n\nWe no longer use the gtk-aware ca_context, the dependency can be lowered now.",1,1546959597+0100,meson,libcanberra-gtk3 libcanberra,os development
1a07ce0b72bddf3d603a747697390bba15c6f198,libconfini-d,libconfini,"meson: depend on libconfini-d\n\nWe need it for the d imports, since libconfini-d requires libconfini (the c lib) we don't need to depend on it.",1,1577962953+0100,meson,libconfini libconfini-d,serializing
8b3d48010d88b974d17e73f053438763e666106b,libconfini-d,libconfini,"meson: depend on libconfini-d\n\nWe need it for the d imports, since libconfini-d requires libconfini (the c lib) we don't need to depend on it.",1,1577962953+0100,meson,libconfini libconfini-d,serializing
de486600187730d56ef0d24db293b50433138481,sysprof-4,sysprof-capture-4,build: use sysprof-4 instead of sysprof-capture-4\n\nWe don't need both since we'll be using the plugin anyway in most cases. We should also move to the controller interface at some point.,1,1598199205-0700,meson,sysprof-capture-4 sysprof-4,os development
a27fe8e28c152571348ae54b6bb4f2fbae115fe3,wayfire,wayland-protocols,"Wayland Only now\n\nSince we're moving to only Wayland, we are now using Wayfire as the WM we are basing Genesis on top of. This update introduces a lot of changes.",1,1637134153-0800,meson,wayland-protocols wayfire,os development
8a88844bcfb7d414b8cba13b717fb763a6d11ba3,Unity,CMock,"Build unit tests using Unity instead of CMock (#8)\n\nThe unit tests in the Jobs library have no need for mocks. The CMake files for the unit tests used to reference the Unity submodule in the CMock submodule. Now, the unit test build only references files from the newly created Unity submodule while the CMock submodule is deleted.",1,1603329102-0700,gitsubmod,cmock unity,testing
70670d4af7c302d3f009e71aa891c4a266ebdd01,pcap,libpcap,"meson: Use built-in pcap detection\n\nMeson already knows how to look for pcap using pkg-config first, and falling back to pcap-config if that didn't work.\n\nhttps://mesonbuild.com/Dependencies.html#pcap\n\nSigned-off-by: Andrea Bolognani <abologna@redhat.com> Reviewed-by: Pavel Hrdina <phrdina@redhat.com>",1,1622046004+0200,meson,libpcap pcap,network
8e217ba4e0bdb94296591e9e4eca24a20ea88695,cmark,md4c,use cmark for commonmark parsing\n\n(because md4c isn't in vcpkg. documentation generation time is about the same),1,1669108220-0500,vcpkg,md4c cmark,GUI
23f00779e814796428a54d13aad208f4d4e908b4,libgpiod,gpiod,"Bug-Fixes, Version bump of libgpiod\n\nFixed bugs in the schedule classes and added more tests. Also cleaned up some code and updated the package ligpiod from conan, so that the program can be build on archlinuxarm.",2,1533249237+0200,conan,gpiod libgpiod,OS development
23e5351c9abd19ac38a566dd25cba327e889ecc8,libjpeg,libjpeg-turbo,Use libjpeg to avoid oom error on travis.,2,1545170679+0100,conan,libjpeg-turbo libjpeg,image
82ce40061c5ae185569efafe10a34d0d6dc0f8fb,quilt,dpatch,switch to dh 7\n\ndebian/patches: port from dpatch to quilt for compatibility with dh7,2,1254862037+0200,debian,dpatch quilt,build
